Clave del centro de trabajo;Clave del turno;Nombre del turno;Nombre del centro de trabajo;Tipo educativo;Nivel educativo;Servicio educativo;Nombre del control (Público o Privado);Tipo de sostenimiento;Clave de la entidad federativa;Nombre de la entidad;Clave del municipio o delegación;Nombre del municipio o delegación;Clave de la localidad;Nombre de localidad;Domicilio;Número exterior;Entre la calle;Y la calle;Calle posterior;Colonia;Nombre de la colonia;Código postal;Página web;Alumnos total (hombres);Alumnos total (mujeres);Alumnos total;Docentes total (hombres);Docentes total (mujeres);Docentes total;Aulas en uso;Aulas existentes;Tipo de localidad U - Urbano, R - Rural;Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos;Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos;Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados;Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados
16PJN0304F;1;MATUTINO;EL FUTURO DEL MAÑANA;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE MARIANO JIMENEZ;60;CALLE ARTICULO 123;PRIVADA PROLONGACIÓN 20 DE NOVIEMBRE;CALLE PRIVADA 20 DE NOVIEMBRE;58;CENTRO (CUPATITZIO);60070;;;;;;;;;;;102:3:46.80 W;19:24:56.33 N;-102,063;19,415647
16DJN0004D;1;MATUTINO;PUREPECHA;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;118;TOREO ALTO (TOREO EL ALTO);NINGUNO NINGUNO;0;NINGUNO NINGUNO;NINGUNO NINGUNO;NINGUNO NINGUNO;2;TOREO EL ALTO;60222;;30;31;61;0;4;4;4;4;;102:0:5.54 W;19:27:37.98 N;-102,00154;19,460549
16PJN0258K;1;MATUTINO;MARIPOSA;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE RIO VERDE;2;CALLE RÍO BALSAS;CALZADA LA FUENTE;CALLE RÍO COLORADO;146;LA MORA;60130;;11;18;29;0;2;2;2;4;;102:2:32.14 W;19:25:1.60 N;-102,04226;19,417111
16PJN0080O;1;MATUTINO;LAPICITOS;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE ROBERTO GUTIERREZ A.;22;CALLE JUSTO SIERRA;CALLE FELIPE ÁNGELES;CALLE PROFESOR SANTIAGO CENDEJAS;206;MOVIMIENTO MAGISTERIAL;60190;;20;23;43;0;3;3;3;3;;102:3:53.58 W;19:22:37.64 N;-102,064884;19,377123
16PJN0048F;1;MATUTINO;INSTITUTO MARIE CURIE;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE HILANDEROS;444;AVENIDA MANUEL PÉREZ CORONADO;CALLE GALEANA;CALLE MADRID;145;LA MAGDALENA;60080;;34;17;51;0;3;3;3;5;;102:3:35.23 W;19:24:15.24 N;-102,059785;19,404233
16EJN0023R;1;MATUTINO;GRAL LAZARO CARDENAS DEL RIO;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;ESTATAL;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE LERDO DE TEJADA;77;CALLE AMADO NERVO;CALLE CARRILLO PUERTO;CALLE REVOLUCIÓN;396;SAN JUAN;60040;;43;44;87;1;4;5;5;5;;102:3:57.93 W;19:25:38.25 N;-102,066092;19,427291
16EJN0221R;2;VESPERTINO;WENCESLAO VICTORIA SOTO;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;ESTATAL;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE HÉCTOR MARTÍNEZ PALACIOS;0;CALLE RUFINO CARDOZO SÁNCHEZ;CALLE NINGUNO;CALLE NINGUNO;316;WENCESLAO VICTORIA;60190;;38;27;65;0;4;4;4;4;;102:2:15.66 W;19:22:37.22 N;-102,037683;19,377006
16PJN0112Q;1;MATUTINO;FRAY JUAN DE SAN MIGUEL;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE VENEZUELA;52;CALLE ARGENTINA;CALLE BRASIL;CALLE SIMON BOLIVAR;182;LOS ÁNGELES;60160;;11;11;22;0;2;2;2;2;;102:3:10.44 W;19:24:14.79 N;-102,052901;19,404107
16PJN0652M;1;MATUTINO;COLEGIO MUNDO DE COLORES;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;AVENIDA LATINOAMERICANA;34;CALLE PRIVADA LATINOAMERICANA;CALLE CANANEA;CALLE COLOMBIA;182;LOS ÁNGELES;60010;;63;63;126;0;9;9;9;9;;102:2:59.51 W;19:24:15.35 N;-102,049865;19,404264
16PJN0551O;1;MATUTINO;EXPLORA;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;PRIVADA DOCTOR MIGUEL SILVA;96;CALLE DOCTOR MIGUEL SILVA;CALLE VICENTE GUERRERO;CALLE ALDAMA;212;OCTAVIANO ALANÍS;60073;;14;34;48;0;2;2;2;2;;102:4:0.84 W;19:24:51.58 N;-102,066901;19,414327
