Clave del centro de trabajo;Clave del turno;Nombre del turno;Nombre del centro de trabajo;Tipo educativo;Nivel educativo;Servicio educativo;Nombre del control (Público o Privado);Tipo de sostenimiento;Clave de la entidad federativa;Nombre de la entidad;Clave del municipio o delegación;Nombre del municipio o delegación;Clave de la localidad;Nombre de localidad;Domicilio;Número exterior;Entre la calle;Y la calle;Calle posterior;Colonia;Nombre de la colonia;Código postal;Página web;Alumnos total (hombres);Alumnos total (mujeres);Alumnos total;Docentes total (hombres);Docentes total (mujeres);Docentes total;Aulas en uso;Aulas existentes;Tipo de localidad U - Urbano, R - Rural;Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos;Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos;Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados;Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados
16PJN0153Q;1;MATUTINO;INSTITUTO MORELOS;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE JUAN N LOPEZ;1198;CALLE HILANDEROS;CALLE GALEANA;CALLE GRAN PARADA;317;YAHUALICA;60080;;25;24;49;0;3;3;5;5;;102:3:21.49 W;19:24:30.83 N;-102,055969;19,408564
16DJN2042U;1;MATUTINO;NARCISO MENDOZA;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;PRIVADA PLAN DE SAN LUIS;12;CALLE MARIANO MATAMOROS;CALLE PLAN DE AYUTLA;CALLE CAMINO VIEJO A TEJERÍAS;138;LA ESPERANZA;60010;;114;129;243;2;7;9;9;9;;102:1:9.13 W;19:24:12.38 N;-102,019204;19,40344
16DJN2233K;1;MATUTINO;ESTEFANIA CASTAÑEDA;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE TLAZAZALCA;0;CALLE PÁTZCUARO;CALLE MORELIA;CALLE CHAVINDA;307;VALLE DORADO;60135;;95;100;195;0;9;9;9;9;;102:0:34.32 W;19:24:33.28 N;-102,009532;19,409245
16EJN0228K;1;MATUTINO;GRAL LAZARO CARDENAS DEL RIO;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;ESTATAL;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE JOSÉ MARÍA VELASCO;13;CALLE JOSÉ LUIS CUEVAS;CALLE FRIDA KALHO;CALLE JUVENTINO ROSAS;406;MANUEL PÉREZ CORONADO;60157;;11;8;19;0;1;1;1;2;;102:1:57.33 W;19:23:36.71 N;-102,032593;19,393531
16DJN1572C;1;MATUTINO;MARIA MONTESSORI;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE JUSTICIAA;0;CALLE LUCHADORES POR LA TIERRA;CALLE LA HUERTA;CALLE AMÉRICA LIBRE;8;2 DE MAYO;60013;;60;69;129;0;6;6;6;6;;102:5:3.15 W;19:25:51.52 N;-102,084207;19,430978
16PJN0105G;1;MATUTINO;INSTITUTO MEXICO DE URUAPAN;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE LIBERTAD;16;CALLE 20 DE NOVIEMBRE;CALLE MANUEL OCARANZA;CALLE FRANCISCO I MADERO;54;CENTRO;60000;;36;35;71;0;3;3;3;3;;102:3:53.45 W;19:25:9.08 N;-102,064847;19,419188
16DJN0303B;1;MATUTINO;TLALOC;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE NICOLÁS RÉGULES;0;CALLE RUBÉN JARAMILLO;CALLE EMILIANO ZAPATA;CALLE NINGUNO;12;28 DE OCTUBRE;60010;;;;;;;;;;;102:5:2.00 W;19:25:34.82 N;-102,083888;19,426339
16PJN0357K;1;MATUTINO;MUNDO MAGICO;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE TLÁLOC;64;AVENIDA HERMANOS FLORES MAGON;CALLE QUETZALCÓATL;CALLE NETZAHUALCOYOTL;197;MÉXICO;60153;;2;3;5;0;3;3;2;3;;102:2:27.24 W;19:24:17.74 N;-102,040899;19,404927
16DJN1574A;1;MATUTINO;VICENTE SUAREZ;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;NINGUNO NINGUNO;0;NINGUNO NINGUNO;NINGUNO NINGUNO;NINGUNO NINGUNO;380;SANTA ROSA (SANTA BARBÁRA);60190;;26;35;61;0;3;3;3;3;;102:1:52.85 W;19:22:59.81 N;-102,031347;19,383281
16EJN0225N;1;MATUTINO;GRAL GUERRERO;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;ESTATAL;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE REPUBLICA DEL SALVADOR;0;CALLE 5 DE ENERO;CALLE PROLONGACIÓN VERACRUZ;CALLE PUERTO RICO;398;GENERAL GUERRERO;60120;;23;32;55;0;2;2;2;3;;102:2:23.78 W;19:25:29.65 N;-102,039939;19,424902
16DJN2655S;2;VESPERTINO;GABRIELA MISTRAL;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;PROLONGACIÓN YUCATAN;0;AVENIDA LUCIO BLANCO;CALLE SEGUNDA PRIVADA DE NIGROMANTE;CALLE NIGROMANTE;84;ESPINOZA;60140;;31;23;54;0;4;4;4;7;;102:3:5.98 W;19:25:50.63 N;-102,051662;19,43073
16DJN2546L;1;MATUTINO;AZTECA;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE IRERI;0;PRIVADA ITZI;AVENIDA MARUATA LUGAR PRECIOSO;CALLE NINGUNO;228;QUIRINDAVARA;60190;;53;60;113;1;6;7;7;7;;102:2:32.84 W;19:22:34.70 N;-102,042456;19,376306
16DJN0385B;1;MATUTINO;JUANA INES DE ASBAJE;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE ACAPULCO;86;CALLE GONZALEZ ORTEGA;CALLE GENERAL SALAZAR;AVENIDA MANUEL PEREZ CORONADO;145;LA MAGDALENA;60080;;41;69;110;0;6;6;6;6;;102:3:24.60 W;19:24:41.68 N;-102,056834;19,411578
16PJN0075C;1;MATUTINO;INFANCIA CREATIVA;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE ANILLO DE CIRCUNVALACIÓN;3;CALLE CUPATITZIO;CALLE CAMINO A LA FUNDICIÓN;PRIVADA CUARTA CUPATITZIO;224;PROGRESO;60090;;10;14;24;0;3;3;3;3;;102:4:5.50 W;19:24:31.07 N;-102,068194;19,408631
16DJN0042G;2;VESPERTINO;ROSARIO CASTELLANOS;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE JOSÉ JUSTO CORRO;0;CALLE VICTORIANO HUERTA;CALLE LICENCIADO CARLOS SALINAS DE GORTARI;CALLE J. J. HERRERA;244;SAN FRANCISCO URUAPAN;60157;;38;41;79;0;3;3;3;10;;102:1:38.69 W;19:23:39.85 N;-102,027413;19,394403
16SJN0005E;5;CONTINUO;CENTRO DE DESARROLLO INFANTIL JORHENPERANI;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;SUBSIDIO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE LEANDRO VALLE;753;CALLE FRONTÓN;CALLE ATLETISMO;CALLE TENIS;99;GRANJAS DE BELLAVISTA;60110;;48;39;87;0;12;12;6;6;;102:2:22.83 W;19:25:37.38 N;-102,039676;19,42705
16PJN0230E;1;MATUTINO;COLEGIO DE LAS AMERICAS;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE NIÑOS HEROES;51;AVENIDA TEJEDA;CALLE GUADALUPE VICTORIA;CALLE MONTERREY;56;CENTRO (CONSTITUCIÓN);60050;;45;40;85;0;5;5;5;5;;102:3:46.80 W;19:25:15.24 N;-102,063;19,4209
16DJN1576Z;1;MATUTINO;RICARDO FLORES MAGON;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;114;TEJERÍAS (TEJERÍAS DE SANTA CATARINA);CALLE ANTONIO VALDIVIA;0;NINGUNO NINGUNO;NINGUNO NINGUNO;NINGUNO NINGUNO;3;TEJERÍAS;60156;;38;36;74;1;3;4;4;4;;102:0:15.63 W;19:23:33.42 N;-102,004341;19,392618
16DJN0009Z;1;MATUTINO;ERENDIRA;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE REFORMA;0;CALLE GILDARDO MAGAÑA;CALLE FRANCISCO J. MÚGICA;CALLE PLAN DE AYALA;18;EMILIANO ZAPATA;60180;;41;42;83;0;5;5;5;5;;102:3:21.81 W;19:23:26.64 N;-102,056057;19,390733
16PJN0653L;1;MATUTINO;INSTITUTO LITTLE FRIENDS;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE PARAGUAY;1235;CALLE CHECOSLOVAQUIA;CALLE NIZA;CALLE ESTOCOLMO;182;LOS ÁNGELES;60160;;25;31;56;0;3;3;3;3;;102:3:13.38 W;19:23:41.57 N;-102,053716;19,39488
16DJN0484B;1;MATUTINO;SCHUBERT;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE SALAZAR;10;CALLE PRIMERA CERRADA DE ARTEAGA;CALLE JOSÉ MARÍA ARTEAGA;CALLE JESUS DIAZ;195;MÁRTIRES DE URUAPAN;60040;;33;29;62;1;3;4;4;4;;102:3:59.68 W;19:25:51.13 N;-102,066579;19,43087
16DJN0386A;1;MATUTINO;MEXICO;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;61;CALTZONTZIN;CALLE VENUSTIANO CARRANZA;0;CALLE VICENTE GUERRERO;CALLE PURÉPECHAS;CALLE VICENTE GUERRERO;2;DE SAN MIGUEL;60220;;74;60;134;0;6;6;6;6;;102:0:19.05 W;19:25:39.39 N;-102,005292;19,427607
16DJN0210M;1;MATUTINO;TARIACURI;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE LÁZARO CÁRDENAS;502;CALLE CAPIRE;PRIVADA AILE;NINGUNO NINGUNO;82;ELIAS PÉREZ AVALOS;60094;;31;35;66;1;2;3;3;3;;102:4:16.65 W;19:24:26.12 N;-102,071292;19,407256
16PJN0537V;1;MATUTINO;SAN ANGELIN;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE SALAZAR;7;CALLE 5 DE MAYO;CALLE JUSTO MENDOZA;CALLE PRIVADA 5 DE MAYO;145;LA MAGDALENA;60080;;11;11;22;0;3;3;3;3;;102:3:33.31 W;19:24:47.13 N;-102,059253;19,413091
16PJN0117L;1;MATUTINO;COLEGIO HIDALGO DE MICHOACÁN;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALZADA DE LA FUENTE;2900;CALLE LIBRAMIENTO ORIENTE;PRIVADA MANZANO;CALLE AEROPUERTO;297;TABACHINES;60133;;35;38;73;0;4;4;4;6;;102:1:55.46 W;19:24:58.48 N;-102,032073;19,416245
16DJN0207Z;1;MATUTINO;FEDERICO CHOPIN;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;PRIVADA LÁZARO CÁRDENAS;0;CALLE NINGUNO;CALLE NINGUNO;CALLE NINGUNO;394;JICALÁN;60090;;13;16;29;0;2;2;2;3;;102:4:13.96 W;19:23:31.02 N;-102,070544;19,39195
16PJN0265U;1;MATUTINO;INSTITUTO EDUCATIVO ARQUIMIDES;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE OCASO;12;CALLE GALAXIA;CALLE UNIVERSO;CALLE CREPUSCULO;296;SOL NACIENTE;60154;;20;13;33;0;3;3;3;3;;102:1:40.50 W;19:24:25.84 N;-102,027916;19,407177
16DJN0144D;1;MATUTINO;MIGUEL HIDALGO;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE REFORMA;39;CALLE ALDAMA;CALLE MIGUEL SILVA;CALLE NICOLÁS BRAVO;361;CENTRO (FRATERNIDAD);60073;;69;70;139;0;9;9;9;10;;102:3:41.22 W;19:25:1.57 N;-102,061449;19,417103
16PJN0407B;1;MATUTINO;ESPIRAL;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE MAZATLAN;30;CALLE JOSÉ MORENO;CALLE JOSÉ MARÍA MORELOS;CALLE GALEANA;317;YAHUALICA;60080;;27;26;53;0;3;3;6;6;;102:3:18.06 W;19:24:26.38 N;-102,055017;19,407328
16DJN0302C;1;MATUTINO;BERNAL DIAZ DEL CASTILLO;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE MAGNOLIA;0;AVENIDA LAS AMERICAS;CALLE TULIPAN;CALLE GARDENIA;146;LA MORA;60130;;83;75;158;0;10;10;10;10;;102:2:21.39 W;19:24:46.82 N;-102,039274;19,413005
16PJN0024W;1;MATUTINO;CARLOS A. CARRILLO;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE PINZÓN;852;CALLE RICARDO FLORES MAGON;CALLE RÍO DE JANEIRO;CALLE CISNE;312;VILLA URUAPAN;60120;;11;5;16;0;2;2;2;3;;102:2:19.98 W;19:25:28.46 N;-102,038882;19,424571
16DJN0143E;1;MATUTINO;MELCHOR OCAMPO;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE CALIFORNIA;20;CALLE FRANCISCO VILLA;CALLE PROL YUCATAN;CALLE JALISCO;229;RAMÓN FARÍAS;60050;;55;56;111;0;5;5;5;5;;102:3:17.35 W;19:25:10.32 N;-102,05482;19,419533
16DJN0858Z;1;MATUTINO;GABRIELA MISTRAL;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;PROLONGACIÓN YUCATAN;0;AVENIDA LUCIO BLANCO;CALLE SEGUNDA PRIVADA DE NIGROMANTE;CALLE NIGROMANTE;84;ESPINOZA;60140;;60;57;117;0;7;7;7;7;;102:3:5.98 W;19:25:50.63 N;-102,051662;19,43073
16DJN0485A;1;MATUTINO;SCHUMANN;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;103;EL SABINO;NINGUNO NINGUNO;0;NINGUNO NINGUNO;NINGUNO NINGUNO;NINGUNO NINGUNO;2;EL SABINO;60223;;13;16;29;0;2;2;2;2;;101:58:18.40 W;19:17:31.89 N;-101,971779;19,292192
16PJN0457J;1;MATUTINO;LA FUENTE DEL SABER;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE REPUBLICA DEL SALVADOR;30;CALLE PERÚ;CALLE NICARAGUA;CALLE PANAMÁ;71;EL COLORÍN;60120;;10;8;18;0;2;2;2;4;;102:2:18.80 W;19:25:17.08 N;-102,038556;19,421411
16DJN2480T;1;MATUTINO;JUAN ESCUTIA;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;154;EL ARROYO COLORADO;NINGUNO NINGUNO;0;NINGUNO NINGUNO;NINGUNO NINGUNO;NINGUNO NINGUNO;2;EL ARROYO COLORADO;60235;;29;33;62;0;3;3;3;3;;102:3:8.16 W;19:20:41.97 N;-102,052267;19,344993
16DJN0377T;1;MATUTINO;FERNANDO MONTES DE OCA;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;95;CAMPAMENTO ZUMPIMITO (LA PLANTA);NINGUNO NINGUNO;0;NINGUNO NINGUNO;NINGUNO NINGUNO;NINGUNO NINGUNO;2;CAMPAMENTO ZUMPIMITO (LA PLANTA);60235;;43;50;93;0;7;7;7;7;;102:4:13.17 W;19:21:27.37 N;-102,070326;19,357604
16DJN1454O;2;VESPERTINO;MELCHOR OCAMPO;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE CALIFORNIA;20;CALLE FRANCISCO VILLA;CALLE PROL YUCATAN;CALLE JALISCO;229;RAMÓN FARÍAS;60050;;20;39;59;1;3;4;4;6;;102:3:17.35 W;19:25:10.32 N;-102,05482;19,419533
16PJN0148E;1;MATUTINO;LA PAZ;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE CANANEA;820;CALLE CEREZOS;CALLE COLOMBIA;CALLE PARAGUAY;280;DEL VALLE;60160;;32;41;73;0;3;3;3;7;;102:2:45.73 W;19:23:59.18 N;-102,046035;19,399773
16DJN1529O;1;MATUTINO;NACIONES UNIDAS;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE RIO BLANCO;1985;CALLE COSTA RICA;CALLE ARGENTINA;CALLE AEROPUERTO;246;SAN JOSÉ OBRERO;60160;;17;19;36;0;3;3;3;4;;102:2:36.16 W;19:24:7.29 N;-102,043378;19,402024
16PJN0219I;1;MATUTINO;LA PRIMAVERA;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE NICARAGUA;2545;CALLE PRIMERO DE MAYO;CALLE CANANEA;CALLE COLOMBIA;246;SAN JOSÉ OBRERO;60160;;10;12;22;0;2;2;2;2;;102:2:42.89 W;19:24:1.50 N;-102,045247;19,400417
16PJN0631Z;1;MATUTINO;PEQUEÑOS PASITOS;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE MARIANO PAREDES;233;CALLE GENERAL NICOLÁS BRAVO;CALLE CARLOS SALINAS DE GORTARI;CALLE VENUSTIANO CARRANZA;244;SAN FRANCISCO URUAPAN;60157;;14;12;26;0;3;3;3;3;;102:1:32.44 W;19:23:31.46 N;-102,025678;19,392072
16PJN0371D;1;MATUTINO;JEAN PIAGET;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE 20 DE NOVIEMBRE;32;CALLE LIBERTAD;CALLE FRANCISCO I MADERO;CALLE ARTÍCULO 123;54;CENTRO;60000;;14;10;24;0;2;2;2;10;;102:3:55.93 W;19:25:10.55 N;-102,065537;19,419597
16DJN1322X;1;MATUTINO;TATA VASCO;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;ANDADOR CERRO DE LA CAMPANA;0;CALLE RÍO COLORADO;ANDADOR CERRO DE JORULLO;CALLE LOMA ESCONDIDA;54;CENTRO;60000;;25;39;64;0;4;4;4;5;;102:2:32.13 W;19:25:51.71 N;-102,042259;19,431031
16DJN2915O;2;VESPERTINO;JOSE ROSAS MORENO;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE FRANCISCO J. MÚGICA;490;CALLE JESÚS ROMERO FLORES;CALLE FRANCISCO J. MÚGICA;CALLE LÁZARO CÁRDENAS;237;REVOLUCIÓN;60150;;23;13;36;0;3;3;3;3;;102:2:57.34 W;19:24:32.22 N;-102,049262;19,408951
16PJN0646B;1;MATUTINO;PARAKHATA;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE CUPATITZIO;48;CALLE ABIGAIL PATIÑO;CALLE LIBERTAD;CALLE MANUEL OCARANZA;54;CENTRO;60000;;14;11;25;0;2;2;2;4;;102:3:54.54 W;19:25:6.35 N;-102,06515;19,418431
16DJN2303P;1;MATUTINO;JEAN PIAGET;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE DIAMANTE;0;CALLE ESMERALDA;CERRADA NINGUNO;PRIVADA IGNACIO ALLENDE;152;LA PRESA;60134;;54;46;100;0;5;5;5;5;;102:1:16.46 W;19:24:58.89 N;-102,02124;19,416359
16DJN0010O;1;MATUTINO;MARTIN GONZALEZ VAZQUEZ;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE REGINA;211;CALLE PLATEROS;CALLE DEL RELOJ;CALLE DE LA ENSEÑANZA;74;EL MIRADOR;60010;;10;8;18;0;2;2;2;2;;102:4:26.37 W;19:26:21.71 N;-102,073993;19,439365
16PJN0274B;1;MATUTINO;NAZARETH;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE HILANDEROS;8;CALLE MORELOS;CALLE FRANCISCO SARABIA;CALLE ACAPULCO;204;MORELOS;60050;;5;6;11;0;2;2;2;2;;102:3:15.89 W;19:25:31.83 N;-102,054414;19,425508
16DJN1641I;1;MATUTINO;URUAPANI;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE CHARACO;0;NINGUNO NINGUNO;NINGUNO NINGUNO;NINGUNO NINGUNO;306;VALLE DE SAN PEDRO;60063;;;;;;;;;;;102:4:26.94 W;19:25:18.26 N;-102,074149;19,42174
16PJN0369P;1;MATUTINO;TERESA MARTIN;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;82;JUCUTÁCATO;CALLE MIGUEL HIDALGO;11;CALLE LAZARO CARDENAS;CALLE GUADALUPE VICTORIA;CALLE JUAN ESCUTIA;2;JUCUTÁCATO;60230;;13;8;21;0;2;2;2;2;;102:4:48.63 W;19:22:31.99 N;-102,080175;19,375554
16DJN0206Z;1;MATUTINO;HELEN KELLER;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE SAN FRANCISCO URUAPAN;0;CALLE TACÁTZCUARO;CALLE VICENTE GUERRERO;CALLE ZIRAHUÉN;11;22 DE OCTUBRE;60074;;56;73;129;0;4;4;4;4;;102:4:14.91 W;19:24:50.52 N;-102,070808;19,414033
16DJN0859Z;1;MATUTINO;LUIS PASTEUR;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;58;LA BASILIA;AVENIDA SAN ISIDRO;0;CALLE ENCINO;CALLE NINGUNO;NINGUNO NINGUNO;2;LA BASILIA;60223;;24;43;67;0;6;6;6;6;;102:4:4.95 W;19:27:47.69 N;-102,068041;19,463248
16DJN0304A;1;MATUTINO;ERANDI;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE ERANDI;0;CALLE GABRIEL ZAMORA;AVENIDA BENITO JUÁREZ;CALLE PELAGIO RODRÍGUEZ;135;LA CHARANDA;60040;;;;;;;;;;;102:3:38.81 W;19:25:43.81 N;-102,060781;19,428836
16DJN2307L;1;MATUTINO;IGNACIO ZARAGOZA SEGUIN;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE NINGUNO;0;CALLE NINGUNO;CALLE NINGUNO;CALLE NINGUNO;394;JICALÁN;60090;;24;29;53;1;2;3;3;3;;102:4:28.24 W;19:23:6.48 N;-102,07451;19,385133
16EJN0241E;1;MATUTINO;RIYITOS;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;ESTATAL;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE DELICIAS;0;CALLE JUSTO SIERRA;CALLE JUSTO SIERRA;CALLE MANUEL PAYNO;188;LOS RIYITOS;60030;;11;22;33;0;2;2;2;2;;102:4:12.00 W;19:25:49.85 N;-102,069999;19,430515
16DJN2306M;1;MATUTINO;TERESA MAGAÑA SILVA;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE MIGUEL HIDALGO;0;CALLE DEL CHINITO;CALLE EFRÉN CAPIZ;CALLE 16 DE FEBRERO;305;VALLE DE LAS DELICIAS;60090;;39;41;80;0;4;4;4;4;;102:3:31.05 W;19:23:59.43 N;-102,058626;19,399841
